"3061 璨圓 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
92,"192,553,161","9,635,315,325","83,960",67.00,8/26,36.50,11/07,50.16
93,"284,748,115","11,316,876,252","113,804",58.00,2/02,18.70,11/29,33.33
94,"793,057,268","16,563,503,655","243,403",27.20,4/13,12.75,9/09,19.48
95,"1,526,413,400","41,344,544,036","448,200",42.65,5/15,14.70,2/06,24.50
96,"1,813,927,293","64,794,327,264","612,787",50.60,7/27,24.20,5/03,34.30
97,"1,096,985,379","31,431,651,694","428,967",43.20,5/23,7.77,11/21,24.67
98,"3,135,390,827","121,574,418,015","1,096,041",58.30,10/07,10.65,1/21,35.17
99,"2,188,691,157","96,422,350,230","925,752",55.00,1/05,35.45,2/08,43.15
100,"1,418,721,781","44,422,930,953","584,620",47.25,1/07,14.75,11/24,28.97
101,"1,805,952,874","42,740,657,079","665,411",32.25,3/16,17.10,1/09,22.32
102,"991,573,377","20,259,555,833","345,613",24.20,3/11,13.05,11/15,19.40
近年最高價,日期,近年最低價,日期
67.00, 92/8/26,7.77, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
