"2504 國產 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"1,196,288,264","52,867,041,922","390,398",58.00,5/08,28.60,1/17,42.94
81,"428,715,409","16,882,636,326","121,309",48.60,2/29,25.70,12/29,35.99
82,"915,745,419","26,196,844,470","184,741",36.10,3/04,20.80,9/16,27.35
83,"2,448,155,462","82,317,758,155","438,296",38.90,10/19,26.00,3/22,32.34
84,"1,651,921,108","43,302,019,918","298,742",38.80,1/05,16.10,8/15,24.60
85,"2,061,215,941","46,708,634,484","350,255",27.10,4/15,18.10,2/07,21.78
86,"2,891,363,353","69,221,960,492","499,889",28.00,9/22,19.00,7/15,22.87
87,"865,515,410","16,621,800,257","159,406",25.70,3/09,11.50,12/30,18.21
88,"1,391,179,027","15,378,511,529","192,687",14.60,4/21,7.80,11/10,10.32
89,"1,209,409,765","10,991,421,760","157,458",14.45,2/22,2.91,12/28,7.46
90,"757,578,431","3,274,016,528","72,613",7.05,3/29,2.25,12/05,4.04
91,"3,030,390,288","12,062,079,270","229,847",6.00,4/26,2.34,10/08,3.55
92,"4,939,658,193","24,389,322,611","402,388",6.85,12/29,2.88,5/02,4.41
93,"6,307,866,423","55,525,135,726","682,562",11.60,3/16,6.00,8/19,8.23
94,"1,516,324,608","13,167,844,587","208,176",10.10,1/06,6.90,4/21,8.33
95,"4,811,797,547","67,745,700,759","718,810",19.50,12/08,8.07,3/17,12.66
96,"2,935,446,016","55,183,021,806","512,058",22.70,10/03,12.55,12/21,18.14
97,"4,404,123,918","69,683,491,027","863,816",26.30,4/18,5.50,10/29,14.96
98,"4,256,114,354","61,714,116,647","835,555",19.25,5/26,8.31,3/03,14.32
99,"4,324,873,671","64,382,272,404","880,906",17.45,11/09,11.25,2/06,14.40
100,"1,722,789,643","24,574,059,074","399,006",17.30,1/07,9.75,12/20,13.59
101,"875,620,544","10,004,311,537","208,877",13.05,2/10,9.51,6/04,11.11
102,"891,979,662","10,694,656,810","217,351",12.75,6/06,11.15,9/11,11.92
近年最高價,日期,近年最低價,日期
58.00, 80/5/08,2.25, 90/12/05
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
