"2062 橋椿 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
96,"13,526,891","652,354,941","5,127",56.00,11/16,41.00,11/28,46.93
97,"19,469,682","671,756,344","9,635",47.10,1/03,19.20,12/31,33.18
98,"10,405,698","274,622,342","5,269",35.20,12/28,18.60,3/02,24.51
99,"41,606,299","1,624,017,338","20,387",44.00,4/13,28.00,2/08,37.49
100,"32,532,078","1,229,457,578","17,926",46.20,4/25,27.00,8/22,34.31
101,"14,321,001","427,244,290","8,247",35.15,3/22,26.60,11/19,29.99
102,"397,715,880","27,532,218,736","236,085",91.50,10/07,29.40,3/05,59.63
近年最高價,日期,近年最低價,日期
91.50, 102/10/07,18.60, 98/3/02
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
