"1438 裕豐 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"685,655,520","32,288,439,277","252,183",64.00,5/06,24.00,1/17,45.12
81,"491,977,583","23,334,300,232","152,117",64.50,2/24,22.10,12/29,41.47
82,"656,895,506","20,705,739,107","130,634",56.50,12/14,18.10,9/03,28.64
83,"419,061,224","14,146,492,688","128,043",44.80,9/27,24.30,3/15,31.91
84,"108,916,200","2,791,518,219","34,798",36.00,1/05,18.10,8/14,24.27
85,"402,766,583","12,752,164,088","117,725",44.50,8/13,17.80,3/06,25.68
86,"361,390,336","16,499,675,742","85,038",65.00,4/16,31.20,1/04,44.88
87,"426,419,060","16,279,771,518","107,189",48.00,4/20,14.80,12/30,36.17
88,"295,167,511","8,041,504,819","53,566",35.20,5/15,11.45,2/06,24.28
89,"159,372,317","2,331,732,730","36,529",27.70,2/21,2.11,11/23,9.51
90,"37,520,325","109,871,388","6,747",4.68,2/22,0.75,12/07,2.64
91,"5,801,802","8,318,450",849,2.20,5/16,0.78,11/08,1.34
92,"12,657,736","14,282,448","1,063",1.65,5/12,0.81,7/10,1.14
93,"32,967,329","76,435,598","1,606",4.40,4/15,0.74,12/17,2.35
94,"2,910,634","3,506,000",423,2.17,11/02,0.82,2/01,1.37
95,"16,505,356","17,619,812",791,1.94,12/25,0.40,5/23,0.94
96,"4,251,473","8,209,682","1,147",2.91,1/16,1.20,11/14,1.94
97,"2,429,482","5,816,640",423,3.28,6/04,0.92,12/26,1.96
98,"1,533,474","2,163,993",424,2.14,11/09,0.70,3/12,1.16
99,"10,070,963","22,366,149","1,486",3.65,12/22,1.40,1/07,2.26
100,"13,283,137","39,932,292","2,544",4.32,5/11,1.71,12/23,2.71
101,"7,112,530","17,810,516","1,501",3.45,11/30,1.69,1/18,2.38
102,"23,209,411","112,830,375","4,205",6.24,11/15,3.00,1/09,4.65
近年最高價,日期,近年最低價,日期
65.00, 86/4/16,0.40, 95/5/23
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
