"2436 偉詮電 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
89,"322,539,984","22,748,919,378","148,045",109.50,9/14,43.00,12/28,66.20
90,"1,398,606,347","67,737,253,364","509,440",81.00,4/24,18.70,10/08,49.92
91,"1,092,155,896","48,523,860,598","404,566",61.00,1/28,28.00,8/06,41.53
92,"610,492,525","16,504,311,152","198,668",33.50,1/13,22.60,5/05,26.41
93,"409,344,039","9,559,436,893","121,390",28.40,3/04,12.00,12/06,19.47
94,"668,638,105","9,264,677,451","163,584",16.40,3/11,10.20,10/17,12.76
95,"661,964,191","9,089,689,049","152,517",18.15,12/29,10.20,9/08,12.36
96,"2,971,781,144","105,536,281,544","949,228",60.60,7/26,18.80,1/02,34.07
97,"1,346,768,011","34,666,985,345","550,162",38.50,1/02,9.63,11/19,24.46
98,"2,130,391,721","49,137,256,175","714,271",32.95,12/31,11.20,1/21,22.28
99,"910,519,321","24,185,704,628","348,307",32.40,1/04,20.20,5/26,25.24
100,"511,591,344","9,915,833,957","203,087",26.45,1/19,12.50,12/20,19.16
101,"309,727,866","4,475,039,811","120,872",18.00,3/22,9.78,11/21,13.18
102,"950,610,125","18,860,540,770","320,518",29.50,10/30,11.35,1/09,18.55
近年最高價,日期,近年最低價,日期
109.50, 89/9/14,9.63, 97/11/19
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
