"2480 敦陽科 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
90,"296,390,413","35,576,286,316","159,013",142.50,12/13,82.50,9/19,113.24
91,"496,851,562","49,879,205,768","248,647",148.50,1/22,40.80,12/31,91.45
92,"610,640,378","21,439,585,223","209,138",50.50,1/15,26.70,5/02,34.33
93,"430,869,027","11,187,101,276","125,316",35.90,2/02,13.60,11/02,21.48
94,"430,099,310","6,653,504,402","101,440",17.75,7/07,12.40,10/28,14.82
95,"643,189,681","9,780,333,644","133,871",19.00,12/12,11.85,9/15,13.98
96,"678,308,324","13,233,760,809","173,398",24.30,6/23,13.60,12/18,18.15
97,"145,852,069","2,165,897,755","40,933",19.50,5/06,8.86,11/21,14.28
98,"607,972,748","14,031,882,786","190,602",33.10,12/16,10.00,1/10,17.62
99,"745,586,939","23,375,974,931","307,053",38.40,3/23,24.00,2/06,29.44
100,"680,948,771","20,339,851,919","285,901",37.60,8/16,21.70,12/16,28.11
101,"249,513,736","6,739,067,966","111,967",30.20,3/01,22.65,1/13,26.06
102,"188,006,390","5,205,971,278","83,531",32.95,12/13,23.80,7/10,26.29
近年最高價,日期,近年最低價,日期
148.50, 91/1/22,8.86, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
