
"103年01月 07日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號證券名稱本益比殖利率(%)股價淨值比"
"1603","華電","14.57","0.00","0.77"
"1604","聲寶","12.27","5.04","0.84"
"1605","華新","29.63","0.00","0.53"
"1608","華榮","87.69","6.14","0.63"
"1609","大亞","-","2.75","0.59"
"1611","中電","104.64","1.37","0.96"
"1612","宏泰","-","2.21","0.66"
"1613","台一","-","0.00","0.50"
"1614","三洋電","46.43","2.01","2.23"
"1615","大山","47.27","3.85","0.83"
"1616","億泰","-","0.00","0.61"
"1617","榮星","106.67","0.00","0.88"
"1618","合機","162.33","5.13","0.54"
"1626","F-艾美","16.87","2.98","3.13"
"1701","中化","25.27","2.15","1.43"
"1702","南僑","14.18","2.30","2.52"
"1704","榮化","57.80","1.97","1.42"
"1707","葡萄王","24.61","2.61","7.35"
"1708","東鹼","11.43","3.13","1.37"
"1709","和益","25.17","2.05","1.03"
"1710","東聯","22.15","3.76","1.67"
"1711","永光","21.45","4.09","1.70"
"1712","興農","12.34","4.73","1.18"
"1713","國化","35.28","2.41","1.28"
"1714","和桐","31.30","4.86","1.20"
"1715","萬洲","14.08","5.67","1.00"
"1717","長興","17.83","3.88","1.49"
"1718","中纖","11.94","0.00","0.77"
"1720","生達","23.21","2.63","2.37"
"1721","三晃","107.75","0.00","0.95"
"1722","台肥","16.48","4.08","1.28"
"1723","中碳","17.68","4.48","5.92"
"1724","台硝","-","6.37","1.23"
"1725","元禎","-","0.00","1.23"
"1726","永記","13.69","4.60","1.76"
"1727","中華化","16.06","6.23","1.36"
"1729","必翔","-","0.00","2.20"
"1730","花仙子","14.62","4.14","1.75"
"1731","美吾華","38.97","2.30","1.23"
"1732","毛寶","-","0.00","1.20"
"1733","五鼎","14.46","6.58","3.58"
"1734","杏輝","27.50","1.19","2.55"
"1735","日勝化","18.55","4.69","0.95"
"1736","喬山","27.85","2.02","2.64"
"1737","臺鹽","82.78","0.87","1.28"
"1762","中化生","38.55","2.97","2.37"
"1773","勝一","12.22","6.06","1.96"
"1783","和康生","-","0.00","5.90"
"1786","科妍","214.47","0.71","7.62"
"1789","神隆","41.13","1.83","6.31"
"1802","台玻","-","0.31","1.72"
"1805","寶徠","-","0.00","2.33"
"1806","冠軍","44.66","0.00","0.72"
"1808","潤隆","-","9.84","1.74"
"1809","中釉","28.47","1.70","1.00"
"1810","和成","42.20","0.00","0.72"
"1817","凱撒衛","15.59","3.14","2.40"
"1902","台紙","-","0.00","0.92"
"1903","士紙","-","0.00","3.14"
