"6115 鎰勝 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
93,"32,403,880","837,867,244","11,202",33.00,7/19,22.10,11/02,24.61
94,"251,068,275","8,146,462,132","97,096",38.40,3/08,22.90,1/25,29.73
95,"348,986,265","13,738,443,067","133,729",52.50,11/24,28.10,1/24,36.82
96,"267,762,904","14,690,809,716","117,166",66.50,7/26,40.80,12/24,52.10
97,"59,353,839","2,177,894,495","27,798",47.00,5/20,20.50,11/21,35.95
98,"465,644,354","26,142,777,370","206,508",68.50,9/04,21.40,1/20,44.96
99,"176,240,536","10,172,911,309","97,920",64.50,1/20,46.00,9/01,54.87
100,"41,647,376","1,692,136,234","25,694",49.90,1/05,28.75,8/09,39.94
101,"46,919,962","2,043,182,625","23,796",49.80,3/23,35.10,1/16,41.71
102,"39,023,735","1,688,559,415","21,646",46.30,7/17,40.00,11/14,42.97
近年最高價,日期,近年最低價,日期
68.50, 98/9/04,20.50, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
