"2493 揚博 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
91,"190,406,854","6,811,712,907","70,858",51.00,3/15,14.70,12/25,28.54
92,"118,288,548","1,526,161,227","28,701",17.20,1/13,9.50,8/28,12.90
93,"143,126,976","1,961,637,091","36,452",16.20,3/04,10.80,1/02,12.98
94,"393,882,862","5,537,031,426","94,017",17.75,7/29,11.10,1/24,13.09
95,"479,434,552","7,269,886,566","109,209",18.85,5/23,11.30,2/27,13.85
96,"569,547,887","9,951,002,579","142,010",22.30,6/12,9.60,12/21,16.10
97,"84,714,239","947,639,704","25,877",14.90,5/23,4.60,11/21,9.88
98,"334,896,152","5,721,307,284","98,280",26.45,12/15,6.37,2/02,10.76
99,"534,610,413","10,419,934,310","181,611",22.30,10/04,14.80,5/07,18.57
100,"412,578,389","8,734,641,761","141,835",24.45,5/19,16.30,3/17,20.38
101,"409,966,423","10,774,393,110","167,221",31.40,3/26,20.00,1/02,25.68
102,"215,118,052","5,700,884,858","95,423",29.20,4/03,22.50,11/14,25.91
近年最高價,日期,近年最低價,日期
51.00, 91/3/15,4.60, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
