"1455 集盛 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
82,"65,651,321","3,747,405,367","22,709",63.00,12/29,48.10,10/07,55.73
83,"420,227,972","19,527,611,285","103,447",68.00,2/23,27.00,10/11,44.37
84,"824,292,372","29,376,527,742","181,206",64.50,4/06,22.60,8/25,35.53
85,"866,952,744","26,762,303,934","167,861",38.20,9/19,22.60,3/13,29.74
86,"994,167,154","33,088,761,271","205,326",41.40,2/26,21.30,11/15,30.08
87,"866,902,211","18,857,942,227","148,961",29.10,3/21,15.10,9/04,20.83
88,"983,576,221","17,383,759,552","146,740",24.40,5/05,9.00,12/28,15.26
89,"506,256,663","5,091,326,935","79,212",15.50,2/21,2.81,11/24,8.27
90,"526,606,588","2,638,923,829","63,796",6.15,9/25,3.30,1/02,4.62
91,"2,097,908,196","21,916,367,217","267,655",13.60,12/10,5.80,1/02,9.78
92,"2,006,385,400","23,881,607,188","274,582",17.70,1/24,7.30,5/02,10.73
93,"1,387,957,734","16,246,098,404","197,246",13.70,1/07,8.45,5/18,10.72
94,"333,963,943","3,277,629,369","62,164",12.55,1/03,5.80,10/21,8.68
95,"309,880,417","2,203,619,828","56,655",8.97,12/20,5.51,3/29,6.54
96,"801,571,160","7,634,443,282","128,685",11.60,8/13,6.83,12/18,8.78
97,"248,307,084","1,689,389,310","46,576",9.65,4/21,3.19,10/28,6.17
98,"1,486,572,002","15,424,487,078","246,007",13.85,10/21,3.50,2/18,7.45
99,"2,335,887,519","35,358,941,066","495,185",17.80,4/29,10.45,2/06,14.69
100,"1,639,992,771","30,547,784,576","401,885",23.60,4/13,10.05,12/20,17.02
101,"905,964,013","10,185,805,780","240,985",15.50,2/17,7.86,11/22,10.63
102,"652,287,840","6,584,952,420","156,726",11.55,10/08,8.37,4/16,9.82
近年最高價,日期,近年最低價,日期
68.00, 83/2/23,2.81, 89/11/24
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
