"1434 福懋 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"890,285,492","39,101,694,175","226,450",54.50,4/27,27.00,1/17,41.74
81,"177,041,065","6,517,640,386","48,972",43.20,1/30,24.00,12/29,33.99
82,"496,558,314","15,859,973,042","97,251",39.20,12/13,22.20,1/08,27.04
83,"1,513,987,664","55,251,303,380","264,162",42.70,2/02,29.00,10/11,35.16
84,"381,594,996","9,925,367,628","79,762",36.50,1/05,17.90,8/15,24.97
85,"1,372,291,555","38,614,161,441","240,036",35.00,12/03,19.90,1/29,26.14
86,"2,021,798,491","69,072,261,637","345,071",40.60,6/18,21.50,10/28,30.88
87,"1,101,991,560","25,987,854,698","206,235",32.50,3/12,15.20,9/04,22.10
88,"1,482,178,627","31,461,322,310","268,843",25.90,4/19,14.10,2/05,20.03
89,"1,930,877,744","45,977,668,640","388,730",31.00,2/18,12.35,11/21,21.58
90,"683,011,053","8,501,555,083","131,469",17.60,1/02,8.30,9/24,11.80
91,"1,958,156,464","27,661,617,223","285,054",16.00,4/25,10.25,1/02,13.81
92,"1,044,531,979","15,558,763,354","182,473",17.50,1/24,11.95,5/02,14.15
93,"1,366,339,487","21,411,086,254","204,788",17.70,3/08,12.90,5/17,14.90
94,"565,475,018","9,129,428,613","101,834",17.25,6/27,13.70,10/24,15.61
95,"935,513,407","17,622,455,852","190,196",25.50,12/05,15.35,6/12,17.84
96,"1,467,470,249","48,502,283,698","358,483",42.90,7/27,23.00,1/11,32.27
97,"703,368,434","20,062,724,943","235,823",36.15,4/17,15.65,10/28,26.54
98,"495,818,446","10,659,421,111","176,436",26.00,12/25,15.20,1/21,21.04
99,"479,167,867","12,491,283,608","157,311",29.35,10/18,21.45,5/25,25.18
100,"570,252,509","16,816,960,157","206,813",35.15,7/18,25.45,3/15,29.25
101,"232,608,535","6,401,854,400","132,017",30.15,3/14,25.00,7/26,27.52
102,"526,423,470","17,222,074,799","226,322",38.90,11/08,26.50,8/22,29.99
近年最高價,日期,近年最低價,日期
54.50, 80/4/27,8.30, 90/9/24
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
