"4942 嘉彰 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
100,"173,728,339","7,952,552,834","89,326",55.10,7/04,35.50,12/20,44.67
101,"261,692,258","10,861,355,560","128,660",52.50,3/02,26.60,10/29,37.33
102,"255,480,271","10,160,693,654","132,757",45.75,3/13,33.65,8/30,38.44
近年最高價,日期,近年最低價,日期
55.10, 100/7/04,26.60, 101/10/29
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
