"1808 潤隆 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
83,"40,447,618","2,408,602,850","12,596",64.00,12/31,51.00,10/26,58.67
84,"273,316,911","10,211,727,168","59,555",68.50,1/10,19.80,8/25,38.22
85,"516,251,290","11,127,252,576","127,080",25.50,7/24,18.10,11/28,20.25
86,"992,473,691","27,129,583,352","141,064",34.50,5/08,19.10,1/06,26.49
87,"671,025,076","16,466,055,231","135,898",34.00,4/09,8.65,11/20,19.52
88,"172,391,580","1,047,075,982","30,402",8.65,1/05,2.63,12/16,5.14
89,"6,388,961","36,721,038","1,467",7.70,2/17,1.78,10/18,5.07
90,"4,146,216","8,447,335",403,4.70,12/11,1.24,5/18,2.12
91,"2,224,358","14,009,277",492,10.05,5/08,2.98,2/27,5.32
92,"4,681,839","28,601,691","1,824",7.65,10/01,3.60,2/12,5.83
93,"20,209,160","195,645,962","6,326",17.10,10/20,4.47,7/09,9.28
94,"2,142,766","32,144,964","1,437",24.30,12/29,10.15,5/31,12.36
95,"49,887,558","2,576,807,421","30,659",93.90,5/05,19.00,1/10,44.38
96,"59,505,082","2,009,759,352","23,468",50.60,4/02,22.15,12/24,39.07
97,"131,665,198","3,907,885,693","42,896",41.00,3/31,10.45,11/21,24.33
98,"108,177,067","2,188,547,759","38,948",24.60,6/02,11.70,1/21,18.45
99,"187,973,897","5,055,074,439","61,752",35.60,11/10,17.50,2/06,26.39
100,"80,774,664","2,448,385,079","29,639",35.50,11/16,24.05,3/15,29.83
101,"213,220,874","8,749,100,984","111,079",47.60,3/22,27.30,1/13,37.83
102,"75,377,328","2,512,698,915","36,163",36.80,3/21,29.20,7/25,33.02
近年最高價,日期,近年最低價,日期
93.90, 95/5/05,1.24, 90/5/18
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
