"2015 豐興 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
81,"170,295,602","10,352,529,382","67,496",77.00,6/23,46.00,9/26,56.95
82,"431,466,510","26,098,383,541","120,414",71.00,5/13,50.00,7/17,57.39
83,"150,929,965","8,048,894,198","41,887",69.00,1/06,38.50,11/30,50.45
84,"614,235,300","26,017,472,088","132,410",54.00,3/15,27.00,11/15,37.35
85,"477,409,883","14,850,345,261","94,948",35.30,4/15,25.50,8/02,30.18
86,"564,556,249","19,841,939,976","113,006",46.80,4/17,20.50,12/01,32.29
87,"372,497,677","7,240,257,575","64,305",27.60,3/12,10.10,12/31,19.76
88,"768,911,213","11,578,124,798","110,187",20.50,10/14,8.90,2/05,13.06
89,"471,080,979","6,638,418,467","76,849",18.90,2/22,8.25,11/27,11.75
90,"78,864,552","546,681,786","13,308",9.80,2/06,4.80,9/19,7.03
91,"899,798,124","15,811,101,717","148,343",24.20,12/20,6.80,1/03,14.39
92,"1,848,359,948","43,160,262,141","360,097",30.60,1/16,14.30,5/02,22.36
93,"2,304,187,353","81,587,125,416","512,440",49.60,10/12,25.00,5/18,33.99
94,"762,345,001","25,512,766,380","206,484",44.50,2/22,21.80,12/16,31.04
95,"831,428,269","26,182,676,944","215,391",40.20,12/28,22.20,1/02,30.86
96,"514,778,452","23,586,871,936","156,525",58.90,10/01,38.20,5/30,44.76
97,"1,327,493,884","77,384,610,452","487,854",106.00,5/29,20.30,10/29,59.78
98,"1,567,647,847","70,639,481,251","597,926",61.50,8/17,30.15,3/03,46.80
99,"471,391,373","24,909,569,239","197,113",61.30,1/11,41.05,5/27,50.86
100,"391,404,717","20,763,834,821","181,339",59.80,2/09,45.40,12/19,52.23
101,"151,226,184","7,519,295,437","92,751",52.50,3/23,46.00,7/23,49.44
102,"131,121,432","6,961,520,096","81,780",57.90,5/31,50.00,4/10,52.88
近年最高價,日期,近年最低價,日期
106.00, 97/5/29,4.80, 90/9/19
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
