"9941 裕融 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
90,"38,184,075","1,266,485,294","14,871",38.30,12/18,26.70,9/24,30.37
91,"101,608,023","3,171,873,453","37,691",36.40,1/07,24.40,10/08,30.35
92,"47,025,629","1,353,795,485","17,200",31.00,11/06,26.50,5/02,28.44
93,"57,026,727","1,781,814,821","20,378",35.50,3/05,26.50,7/20,30.04
94,"40,192,061","1,212,351,922","15,579",34.95,6/27,26.70,10/26,29.64
95,"31,231,624","745,373,935","13,717",28.40,1/12,17.00,9/14,23.24
96,"45,494,848","1,000,730,357","14,119",24.30,7/05,19.20,8/17,21.20
97,"29,649,105","623,004,795","11,722",25.30,5/12,14.75,10/28,20.30
98,"159,860,978","4,747,728,859","64,316",38.70,11/17,16.00,1/05,26.97
99,"291,263,318","14,185,242,557","132,713",65.50,10/06,30.00,2/06,45.17
100,"356,397,353","22,981,567,474","179,095",89.40,6/30,46.00,12/19,62.44
101,"337,924,600","22,090,949,164","181,827",74.50,7/30,48.60,1/02,64.59
102,"303,966,260","22,917,926,953","172,782",83.30,12/02,65.80,1/17,74.42
近年最高價,日期,近年最低價,日期
89.40, 100/6/30,14.75, 97/10/28
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
