"1225 福懋油 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
82,"103,163,778","3,533,007,033","31,056",40.50,12/30,28.20,9/27,33.53
83,"351,914,430","11,753,357,007","75,858",46.30,3/02,21.20,10/11,30.96
84,"679,807,788","16,823,780,865","144,636",31.80,4/10,16.00,8/28,23.39
85,"350,026,475","7,919,960,026","80,557",26.90,3/21,19.60,8/06,22.00
86,"396,210,283","10,080,262,517","76,016",33.50,9/11,19.80,1/04,27.09
87,"277,420,454","7,853,782,883","50,280",42.00,4/07,10.50,12/19,32.44
88,"99,748,009","1,153,325,925","21,646",14.70,3/22,3.83,12/16,9.57
89,"69,584,439","532,622,938","14,596",10.85,2/22,3.00,11/16,6.38
90,"12,177,616","36,891,358","2,758",4.60,3/08,1.85,10/19,3.26
91,"65,316,997","280,535,367","9,976",6.80,4/26,2.82,10/14,4.31
92,"91,814,199","414,380,104","13,029",5.60,11/18,3.25,1/02,4.30
93,"329,146,907","2,391,773,652","47,800",9.40,3/18,4.20,9/23,6.11
94,"132,308,482","684,474,003","23,061",6.20,7/04,3.74,4/21,4.68
95,"184,882,804","956,976,152","25,636",8.00,12/29,3.85,3/30,4.98
96,"331,250,971","3,266,250,416","69,170",12.60,7/19,6.84,1/11,8.97
97,"655,736,230","10,120,818,165","182,020",22.95,5/22,5.28,11/13,12.02
98,"657,664,328","8,109,831,483","157,044",17.80,12/23,6.00,3/03,11.05
99,"518,276,705","8,112,506,775","153,269",17.95,8/09,12.00,2/08,14.76
100,"202,337,052","3,068,669,872","61,883",16.95,2/10,11.35,11/25,14.24
101,"68,005,232","917,402,252","25,081",14.60,8/17,12.10,1/16,13.10
102,"104,504,362","1,342,556,432","31,876",15.15,10/30,10.15,11/08,12.67
近年最高價,日期,近年最低價,日期
46.30, 83/3/02,1.85, 90/10/19
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
