"1707 葡萄王 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"354,656,378","31,315,446,003","213,417",116.00,5/01,56.00,1/16,82.07
81,"195,663,403","15,112,711,617","102,050",98.00,2/10,40.00,12/29,69.93
82,"234,784,689","12,326,755,970","97,304",65.00,4/03,35.50,1/08,49.69
83,"196,063,390","10,433,468,077","79,372",70.00,1/11,37.20,11/30,49.71
84,"146,864,765","4,905,861,148","48,538",44.50,3/03,24.00,8/25,32.50
85,"215,060,548","6,332,985,526","67,154",34.90,8/06,25.60,9/04,28.40
86,"450,470,883","15,337,761,420","129,421",42.30,4/11,24.00,12/01,30.96
87,"399,373,451","11,442,014,514","114,345",37.00,4/03,15.30,12/30,25.95
88,"127,014,051","1,801,650,613","39,707",18.00,4/21,6.85,11/08,12.04
89,"259,923,796","3,078,066,345","70,307",16.90,2/22,4.26,11/24,9.98
90,"133,222,285","836,961,899","34,197",8.60,3/15,3.93,10/05,5.67
91,"198,628,317","1,650,574,593","46,293",10.80,4/23,5.50,1/02,7.61
92,"251,593,312","2,193,715,503","48,922",10.15,9/08,6.65,5/02,8.40
93,"210,192,590","2,124,428,432","39,103",13.00,2/12,7.00,8/18,8.76
94,"124,679,180","1,093,036,401","29,175",9.75,10/24,7.60,10/04,8.61
95,"186,248,525","1,863,069,422","37,908",12.35,5/10,8.58,3/01,9.45
96,"786,421,554","18,401,551,809","241,080",39.30,7/30,9.90,3/06,19.20
97,"261,592,655","5,436,872,070","102,064",27.50,4/21,12.15,10/28,18.38
98,"521,897,593","17,839,203,465","213,350",56.00,12/15,14.55,1/21,26.04
99,"598,881,751","28,129,449,023","301,129",53.50,10/04,34.00,2/08,45.86
100,"299,653,340","14,309,949,983","153,409",56.50,8/03,34.15,12/20,45.31
101,"301,274,609","17,522,609,993","182,073",83.30,12/13,36.00,1/02,57.36
102,"321,937,729","38,642,070,887","238,695",158.00,12/09,72.10,1/21,116.40
近年最高價,日期,近年最低價,日期
158.00, 102/12/09,3.93, 90/10/05
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
